Name,Year,Position,Games,Attempts,Yards,TDs
"Ke'Aun Kinner, Kansas (Big 12)",Sr.,RB,12.00,140.00,738.00,3.00
"Izzy Matthews, Colorado St. (Mountain West)",So.,RB,13.00,153.00,734.00,13.00
"Jeremy Cox, Old Dominion (Conference USA)",So.,RB,12.00,129.00,732.00,13.00
"Isaiah Saunders, Idaho (Sun Belt)",So.,RB,13.00,159.00,731.00,9.00
"Kendrick Foster, Illinois (Big Ten)",Jr.,RB,12.00,126.00,720.00,7.00
"Aeris Williams, Mississippi St. (Southeastern)",So.,RB,13.00,137.00,720.00,4.00
"Arkeel Newsome, UConn (AAC)",Jr.,RB,12.00,147.00,715.00,5.00
"Alonzo Smith, Miami (OH) (Mid-American)",So.,RB,13.00,163.00,709.00,3.00
"Tre Watson, California (Pac-12)",Jr.,RB,12.00,143.00,709.00,4.00
"Tim McVey, Air Force (Mountain West)",Jr.,RB,13.00,83.00,708.00,10.00
"Jordan Huff, Northern Ill. (Mid-American)",Jr.,RB,12.00,111.00,703.00,5.00
"Dontel James, Fresno St. (Mountain West)",Jr.,RB,11.00,,697.00,5.00
"Kevin Ellison, Ga. Southern (Sun Belt)",Sr.,QB,11.00,139.00,678.00,7.00
"Arion Worthman, Air Force (Mountain West)",So.,QB,8.00,130.00,674.00,6.00
"Aaron Duckworth, Idaho (Sun Belt)",Jr.,RB,13.00,144.00,672.00,5.00
"Travon McMillian, Virginia Tech (Atlantic Coast)",So.,RB,14.00,145.00,671.00,7.00
"Keith Ford, Texas A&M (Southeastern)",Jr.,RB,13.00,126.00,669.00,6.00
"Richard McQuarley, New Mexico (Mountain West)",Jr.,RB,13.00,143.00,656.00,18.00
"Ke'Mon Freeman, SMU (AAC)",Fr.,RB,12.00,154.00,651.00,4.00
"Shannon Brooks, Minnesota (Big Ten)",So.,RB,10.00,138.00,650.00,5.00
"T.J. Logan, North Carolina (Atlantic Coast)",Sr.,RB,13.00,120.00,650.00,7.00
"Josh Cleveland, Bowling Green (Mid-American)",Jr.,RB,11.00,101.00,649.00,2.00
"Matt Breida, Ga. Southern (Sun Belt)",Sr.,RB,12.00,168.00,646.00,3.00
"Lexington Thomas, UNLV (Mountain West)",So.,RB,10.00,124.00,642.00,8.00
"Lorenzo Harrison, Maryland (Big Ten)",Fr.,RB,9.00,88.00,633.00,5.00
"Quadree Henderson, Pittsburgh (Atlantic Coast)",So.,WR,13.00,60.00,631.00,5.00
"John Kelly, Tennessee (Southeastern)",So.,RB,12.00,98.00,630.00,5.00
"Deshaun Watson, Clemson (Atlantic Coast)",Jr.,QB,15.00,165.00,629.00,9.00
